id./;steamID./;name./;price./;short_descritiption./;genres./;publishers./;roda_linux./;release_date
87./;2840./;X: Beyond the Frontier./;4.99./;The Human Race had advanced to the point where we could travel among the stars, we developed giant automated machines to help us colonise other worlds, but there was a fault in their programming and they turned and attacked. Forcing us to lay a trap to protect Earth and exiling the Human race to stay on Earth once again../;Egosoft./;Simulation/Strategy./;Nao./;8/10/2010
88./;2850./;X: Tension./;4.99./;X-Tension is the eagerly awaited expansion pack to X: Beyond the Frontier. The expansion is not limited by a linear plot line but makes use of new ways to expand your empire. You can now take part in missions that are offered to you throughout the game../;Egosoft./;Simulation/Strategy./;Nao./;8/10/2010
89./;2870./;X Rebirth./;29.99./;In the distant future, the X universe faces a period of profound and irrevocable change. While the universe stumbles towards an uncertain future, countless adventures await as new enemies rise in search of power../;Egosoft./;Action/Simulation./;Sim./;15/11/2013
90./;2900./;688(I) Hunter/Killer./;1.99./;688(I) Hunter/Killer, the most realistic submarine simulation ever developed for PC. Master the sonar and weapons control systems, learn to develop real target situations and outfit your boat with the latest advanced weaponry. Then use your skills to complete the tour of duty and earn your dolphins to become a true submariner../;Strategy First./;Strategy./;Nao./;26/10/2006
91./;2910./;Fleet Command./;5.99./;International waterways become theaters of war when the world's most formidable maritime powers exchange their fatal blows. With entire fleets at your command, you must strategically deploy vessels from every class - frigate to aircraft to nuclear submarine - to maintain the precarious balance of naval power and gain position for the..../;Strategy First./;Strategy./;Nao./;26/10/2006
92./;2920./;Sub Command./;5.99./;Take charge of the most deadly modern-day submarines in the world - three distinct submarines across two unique and challenging campaigns. Utilize cutting-edge sensor and weapon technology to locate, track and destroy the enemy - even deliver Tomahawk missiles to inland targets../;Strategy First./;Strategy./;Nao./;26/10/2006
93./;2990./;FlatOut 2™./;7.99./;DRIVING THIS RECKLESS IS NO ACCIDENT! But you might want to cause a few. In these high-speed races, the more damage you inflict, the better. The ultimate in turbo-charged cars and the craziest competitor drivers are waiting to test your best destructive streak. Responsible drivers need not apply../;Strategy First./;Racing./;Nao./;21/12/2006
94./;3010./;Xpand Rally./;4.99./;Xpand Rally is a breathtaking game that gives you the true to life experience of driving powerful rally cars amidst photorealistic sceneries. Realistic weather effects, rolling hills, and animated scenery all add to game's visual perfection../;Techland./;Racing./;Nao./;24/8/2006
95./;3020./;Call of Juarez./;9.99./;Call of Juarez is an epic adventure western themed FPS game. The player alternately assumes the roles of two distinct, antagonistic characters: a sneaking fugitive Billy and his hunter the reverend Ray../;Techland Publishing./;Action./;Nao./;8/11/2007
96./;3050./;Xpand Rally Xtreme./;4.99./;Xpand Rally Xtreme shows the true climate and conditions of rally racing. Dangerous, technical tracks, based on the world's hardest special stages full of moguls,jumps,grooves and tight hairpins. By winning races amass funds for faster cars and repairs../;Techland./;Racing./;Nao./;8/10/2008
97./;3130./;Men of War: Red Tide./;4.99./;Men of War: Red Tide is a sequel to the critically acclaimed RTS Men of War. Red Tide introduces a new story driven campaign based on the writings of Soviet scribe Alexander Zorich, it also includes dozens of new or upgraded units and weapons../;Fulqrum Publishing./;Strategy./;Nao./;1/11/2009
98./;3170./;King's Bounty: Armored Princess./;2.49./;King's Bounty: Armored Princess is a sequel to the critically acclaimed King’s Bounty: The Legend../;Fulqrum Publishing./;RPG/Strategy./;Nao./;19/11/2009
99./;3230./;Genesis Rising./;4.99./;Three thousand years in the future, mankind has carved a bloody path towards domination of the known universe. Self-proclaimed as a divine race and beyond reproach as a species, they view all alien races as inferior../;THQ Nordic./;Strategy./;Nao./;6/8/2007
100./;3260./;Safecracker: The Ultimate Puzzle Adventure./;4.99./;As an expert safecracker, you are hired by the wealthy family of a recently deceased to search his mansion for his last will and testament. Duncan W. Adams was an avid safe collector and an 'eccentric,' to say the least. Adams has hidden the deed to his vast fortunes in one of 35 safes../;HandyGames./;Adventure/Casual./;Nao./;29/8/2007
